author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Бюро Эстейт,real_estate_agent,https://www.cian.ru/sale/flat/299166952/,Москва,sale,flat,6,14,1,27.0,14700000,Раменки,проспект Генерала Дорохова,39к1,Минская,Собрание клубных домов West Garden
ID 47433674,unknown,https://www.cian.ru/sale/flat/298878638/,Москва,sale,flat,24,25,1,40.2,14900000,Орехово-Борисово Южное, Генерала Белова,28к1,Домодедовская,Орехово-Борисово
ID 43786551,homeowner,https://www.cian.ru/sale/flat/298678058/,Москва,sale,flat,7,17,1,39.0,14890000,Крылатское,Рублевское шоссе,32,Молодёжная,
Навигатор,real_estate_agent,https://www.cian.ru/sale/flat/301965360/,Москва,sale,flat,5,9,1,31.0,14990000,Хорошевский,Ленинградский проспект,45К5,Аэропорт,
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/298517952/,Москва,sale,flat,2,12,1,41.0,14999000,Филевский парк,2-я Филевская ,10,Филёвский парк,
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/298826127/,Москва,sale,flat,10,27,1,28.1,15000000,Лефортово, Крузенштерна,10к1,Авиамоторная,Символ
Radiance Group,real_estate_agent,https://www.cian.ru/sale/flat/301839183/,Москва,sale,flat,14,21,1,39.6,15000000,Отрадное,Нововладыкинский проезд,1к4,Окружная,Поколение
ID 113738561,homeowner,https://www.cian.ru/sale/flat/300072249/,Москва,sale,flat,4,10,1,49.1,15000000,Савёлки,Зеленоград,к619,Зеленоград — Крюково,
Юлия Чинарева,realtor,https://www.cian.ru/sale/flat/301851653/,Москва,sale,flat,6,19,1,39.2,15300000,Отрадное,Нововладыкинский проезд,1к1,Окружная,Поколение
Корпорация брокеров,real_estate_agent,https://www.cian.ru/sale/flat/299945901/,Москва,sale,flat,20,26,1,46.3,15500000,Лефортово,проезд Шелихова,9к1,Москва-Товарная,
Московский Риэлторский Центр,real_estate_agent,https://www.cian.ru/sale/flat/301676940/,Москва,sale,flat,7,7,1,48.1,15500000,Лефортово,шоссе Энтузиастов,10/2,Авиамоторная,
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/301776565/,Москва,sale,flat,13,33,1,36.0,15500000,Очаково-Матвеевское, Малая Очаковская,4Ак2,Озёрная,Мичуринский парк
Владис,real_estate_agent,https://www.cian.ru/sale/flat/299396164/,Москва,sale,flat,2,12,1,35.0,15549000,Сокол, Панфилова,22/15,Стрешнево,
Abzor,real_estate_agent,https://www.cian.ru/sale/flat/294632911/,Москва,sale,flat,12,15,1,35.0,15500000,Раменки, Пырьева,12,Поклонная,
ID 84779549,realtor,https://www.cian.ru/sale/flat/301677364/,Москва,sale,flat,3,9,1,31.7,15600000,Аэропорт, Усиевича,13,Аэропорт,
ID 21912,realtor,https://www.cian.ru/sale/flat/301356569/,Москва,sale,flat,7,17,1,32.7,15800000,Очаково-Матвеевское,Очаковское шоссе,5к1,Аминьевская,Матвеевский парк
Камила Измайлова,realtor,https://www.cian.ru/sale/flat/300372258/,Москва,sale,flat,7,9,1,31.0,15900000,Дорогомилово, 1812 года,8К2,Парк Победы,
ID 91110751,homeowner,https://www.cian.ru/sale/flat/301445555/,Москва,sale,flat,13,33,1,32.2,16000000,Нижегородский,Новохохловская ,15к2,Новохохловская,Новохохловская 15
ID 113865348,homeowner,https://www.cian.ru/sale/flat/301646666/,Москва,sale,flat,3,12,1,38.9,16000000,Хорошевский, Острякова,9,Аэропорт,
ID 113909314,homeowner,https://www.cian.ru/sale/flat/301427703/,Москва,sale,flat,17,21,1,40.0,16000000,Нагатинский затон,Нагатинская набережная,46,Коломенская,
ID 349781,homeowner,https://www.cian.ru/sale/flat/300320633/,Москва,sale,flat,5,5,1,53.0,16050000,Кунцево, Екатерины Будановой,12,Кунцевская,
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/301154354/,Москва,sale,flat,25,25,1,30.0,16200000,Филевский парк,Береговой проезд,5Ак3,Фили,Фили Град
ID 11483417,homeowner,https://www.cian.ru/sale/flat/301762564/,Москва,sale,flat,11,33,1,31.7,16200000,Очаково-Матвеевское,Очаковское шоссе,5к4,Давыдково,Матвеевский парк
SUNRISE Estate,real_estate_agent,https://www.cian.ru/sale/flat/300789277/,Москва,sale,flat,18,24,1,35.0,16500000,Хорошево-Мневники,Шелепихинская набережная,34к4,Шелепиха,Сердце Столицы
Самолет Плюс,real_estate_agent,https://www.cian.ru/sale/flat/298749656/,Москва,sale,flat,9,16,1,34.3,16500000,Замоскворечье,Большая Пионерская ,33К2,Павелецкая,
ID 32986444,homeowner,https://www.cian.ru/sale/flat/301515263/,Москва,sale,flat,4,24,1,43.9,16500000,Коптево,Соболевский проезд,20Б,Коптево,
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/301013159/,Москва,sale,flat,26,27,1,39.0,16700000,Лефортово, Крузенштерна,12к1,Авиамоторная,Символ
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/299997609/,Москва,sale,flat,6,33,1,33.5,17000000,Хорошево-Мневники,Причальный проезд,10Б,Шелепиха,Level Причальный
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/299050943/,Москва,sale,flat,5,7,1,34.0,16900000,Соколиная гора,проспект Буденного,51к7,Шоссе Энтузиастов,Золотая звезда
Ключи,real_estate_agent,https://www.cian.ru/sale/flat/301564562/,Москва,sale,flat,15,31,1,36.0,17000000,Богородское,Тюменский проезд,3к1,Бульвар Рокоссовского,Преображение
ID 856420,homeowner,https://www.cian.ru/sale/flat/301871305/,Москва,sale,flat,22,23,1,45.7,16900000,Очаково-Матвеевское,Веерная ,6,Матвеевская,
ID 23949486,realtor,https://www.cian.ru/sale/flat/299568116/,Москва,sale,flat,3,25,1,35.3,17300000,Хорошевский, Полины Осипенко,8,ЦСКА,
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/299436748/,Москва,sale,flat,9,24,1,40.0,17400000,Дмитровский,Дмитровское шоссе,107к1,Яхромская,Летний сад
ID 15968253,homeowner,https://www.cian.ru/sale/flat/299675284/,Москва,sale,flat,3,25,1,47.0,17500000,Кунцево,Ярцевская ,24К1,Молодёжная,Ярцевская 24
ID 90094841,realtor,https://www.cian.ru/sale/flat/301064322/,Москва,sale,flat,8,9,1,38.8,17500000,Раменки, Довженко,6,Минская,
ID 76030582,homeowner,https://www.cian.ru/sale/flat/278505753/,Москва,sale,flat,7,14,1,38.0,17600000,Покровское-Стрешнево,Волоколамское шоссе,71к2,Спартак,Город на Реке Тушино-2018
Ключи,real_estate_agent,https://www.cian.ru/sale/flat/294867977/,Москва,sale,flat,19,25,1,39.3,17800000,Ломоносовский, Архитектора Власова,2,Профсоюзная,
Тамара Певная,realtor,https://www.cian.ru/sale/flat/301028633/,Москва,sale,flat,15,24,1,39.8,18000000,Донской,,к1,Верхние котлы,Новоданиловская 8 ЖК
ID 16407726,homeowner,https://www.cian.ru/sale/flat/301451607/,Москва,sale,flat,10,32,1,42.0,18250000,Богородское,Просторная ,7,Преображенская площадь,
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/301666811/,Москва,sale,flat,10,26,1,40.6,18500000,Лефортово,Красноказарменная ,15к1,Авиамоторная,Красноказарменная 15
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/301045303/,Москва,sale,flat,2,20,1,53.1,18585000,Даниловский,проспект Лихачева,18к5,Технопарк,Квартал на набережной NOW
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300650666/,Москва,sale,flat,8,8,1,45.3,18500000,Академический,Профсоюзная ,15,Профсоюзная,
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/301647132/,Москва,sale,flat,10,26,1,41.0,18500000,Лефортово,Красноказарменная ,15к1,Авиамоторная,Красноказарменная 15
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/301646360/,Москва,sale,flat,6,12,1,43.0,18500000,Лефортово,Красноказарменная ,14Ак5,Авиамоторная,Лефортово парк
